"","block","treatment","alphaBisabolol","alphaHumulene","alphaPinene","alphaTerpinene","betaCaryophyllene","betaPinene","Gammaterpinene","Guaiol","Isopulegol","Linalool","Nerolidol","Ocimene","pCymene"
"1","2","control",701,264,0,71,719,0,0,752,0,122,103,0,0
"2","2","high",737,368,0,0,930,0,0,1460,0,99,172,0,0
"3","2","low",838,426,0,60,1042,0,0,1033,0,75,89,0,0
"4","2","medium",866,484,0,0,1129,0,0,1144,0,68,144,65,0
"5","3","control",816,711,0,0,1624,0,0,1207,39,91,86,0,0
"6","3","high",1096,389,0,0,948,0,0,1421,0,114,154,69,0
"7","3","low",1235,608,42,0,1307,0,0,1994,34,105,187,89,0
"8","3","medium",1148,514,0,0,1183,0,0,1497,0,86,131,67,0
"9","4","control",1241.439623,414.0953667,0,0,46.22993748,33.63941025,0,1227.198324,0,89.57652146,126.9344305,71.64421103,0
"10","4","high",942,338,0,0,832,0,0,1279,0,82,128,75,0
"11","4","low",1135,622,0,0,1484,0,0,314,37,102,133,0,0
"12","4","medium",992.4655855,445.1890462,0,0,1069.599087,0,0,1178.275934,0,93.92800062,137.4240893,96.5566793,0
"13","5","control",1107,468,0,0,1066,0,0,1789,0,77,125,89,0
"14","5","high",804,388,0,0,969,32,0,990,0,70,170,65,0
"15","5","low",726,254,59,0,663,0,0,1059,0,63,138,0,41
"16","5","medium",931,483,0,0,1172,33,0,1511,0,121,245,0,0
"17","6","control",1114,625,0,0,1493,0,0,1800,40,122,114,0,0
"18","6","high",752,377,0,0,841,0,0,905,0,70,105,0,0
"19","6","low",713,538,0,0,1250,0,0,1338,0,74,78,0,0
"20","6","medium",955,551,0,0,60,0,0,1501,0,104,229,87,0
"21","7","control",636,336,0,59,839,0,101,821,0,77,102,0,0
"22","7","high",1078,495,0,0,1188,0,0,1326,34,104,145,64,0
"23","7","low",930,537,0,43,1189,0,0,1033,0,68,107,0,0
"24","7","medium",788,406,0,0,896,0,0,1660,0,70,132,0,0
"25","8","control",789,443,0,0,1012,0,0,964,0,90,128,73,0
"26","8","high",973,748,0,0,1707,0,0,1419,34,98,214,0,0
"27","8","low",843.1715062,337.8698578,0,0,806.2396581,0,0,897.2725244,0,70.13923953,101.745856,64.17552482,0
"28","8","medium",1046,540,0,0,1314,0,0,1181,35,131,224,0,0
"29","9","control",574,423,0,0,978,0,0,474,0,98,162,0,0
"30","9","high",775,556,0,0,1389,0,0,1032,0,122,101,0,0
"31","9","low",566,265,0,131,701,0,0,626,0,72,108,60,0
"32","9","medium",959,413,53,0,1024,0,0,1006,0,94,170,84,0
