ID,Run,Block ,Soil_treatment,species ,14_DAP_ht,21_DAP_ht,28_DAP_ht,drywt_g
1,1,1,soil,cannabis,11,21,29,0.8315
2,1,1,soil,wheat,24,90,100,0.545
3,1,1,soil,soy,11,19,23,0.9652
4,1,1,soil,velvetleaf,3,6,10,0.297
5,1,1,soil,yellow_foxtail,4,20,56,0.209
6,1,1,soil,waterhemp,2,9,16,0.4814
7,1,1,soil_corn,cannabis,NA,NA,NA,NA
8,1,1,soil_corn,wheat,22,23,24.5,0.0767
9,1,1,soil_corn,soy,12,18,22,0.717
10,1,1,soil_corn,velvetleaf,2,3.5,4,0.0235
11,1,1,soil_corn,yellow_foxtail,4,5,7,0.0387
12,1,1,soil_corn,waterhemp,0.5,0.6,0.5,0.0005
13,1,1,soil_hemp,cannabis,6.5,12,20,0.345
14,1,1,soil_hemp,wheat,25,77.5,117,0.3891
15,1,1,soil_hemp,soy,15,19.5,28,0.9282
16,1,1,soil_hemp,velvetleaf,3,5,7,0.0942
17,1,1,soil_hemp,yellow_foxtail,4,8,11,0.0426
18,1,1,soil_hemp,waterhemp,1.3,2.5,5,0.0278
19,1,2,soil,cannabis,8,17,24.5,0.5904
20,1,2,soil,wheat,28.5,84.5,123,0.533
21,1,2,soil,soy,13,18.5,23,1.1335
22,1,2,soil,velvetleaf,3,6.5,12,0.484
23,1,2,soil,yellow_foxtail,1.5,9.5,34,0.0255
24,1,2,soil,waterhemp,3,7.5,16,0.2075
25,1,2,soil_corn,cannabis,9.4,12.5,14,0.1006
26,1,2,soil_corn,wheat,24.5,27,27.5,0.1806
27,1,2,soil_corn,soy,11,15,19,0.5757
28,1,2,soil_corn,velvetleaf,2,6,8,0.071
29,1,2,soil_corn,yellow_foxtail,5,8,9,0.0077
30,1,2,soil_corn,waterhemp,4,6,7,0.0262
31,1,2,soil_hemp,cannabis,11,24,36,0.9683
32,1,2,soil_hemp,wheat,27,57,146,0.5805
33,1,2,soil_hemp,soy,NA,NA,NA,NA
34,1,2,soil_hemp,velvetleaf,3,5,9,0.3249
35,1,2,soil_hemp,yellow_foxtail,2.2,7,14.5,0.0218
36,1,2,soil_hemp,waterhemp,NA,NA,NA,NA
37,1,3,soil,cannabis,12,21,30,0.7907
38,1,3,soil,wheat,28,87,94,0.5601
39,1,3,soil,soy,11,16,21,0.884
40,1,3,soil,velvetleaf,NA,NA,NA,NA
41,1,3,soil,yellow_foxtail,7,25,71,0.212
42,1,3,soil,waterhemp,6,13,22,0.7
43,1,3,soil_corn,cannabis,5,7,8,0.0199
44,1,3,soil_corn,wheat,18,19,23,0.1516
45,1,3,soil_corn,soy,11,19,25,0.9555
46,1,3,soil_corn,velvetleaf,2,3,3,0.0225
47,1,3,soil_corn,yellow_foxtail,17.5,22.5,24,0.0929
48,1,3,soil_corn,waterhemp,2.5,7,9,0.0355
49,1,3,soil_hemp,cannabis,10.5,20.5,33,0.6625
50,1,3,soil_hemp,wheat,26,88,200,0.6588
51,1,3,soil_hemp,soy,15,23,31,1.4293
52,1,3,soil_hemp,velvetleaf,2,3,4,0.0077
53,1,3,soil_hemp,yellow_foxtail,7.5,18.5,67,0.214
54,1,3,soil_hemp,waterhemp,NA,2.7,5,0.0077
55,1,4,soil,cannabis,10.5,21,26,0.8461
56,1,4,soil,wheat,25,84,124,0.4793
57,1,4,soil,soy,13,19,24,0.9028
58,1,4,soil,velvetleaf,3,6.5,12,0.3662
59,1,4,soil,yellow_foxtail,6.5,20.5,79,0.2005
60,1,4,soil,waterhemp,2.4,4.5,9,0.00903
61,1,4,soil_corn,cannabis,8,10.5,10.5,0.0962
62,1,4,soil_corn,wheat,21,21,25,0.3027
63,1,4,soil_corn,soy,12,19,24,0.7985
64,1,4,soil_corn,velvetleaf,3,NA ,5,0.0349
65,1,4,soil_corn,yellow_foxtail,9,9.5,12,0.0471
66,1,4,soil_corn,waterhemp,1.5,2,2,0.002
67,1,4,soil_hemp,cannabis,6,13,22,0.3488
68,1,4,soil_hemp,wheat,26,47.5,126,0.2197
69,1,4,soil_hemp,soy,14,25,32,1.2903
70,1,4,soil_hemp,velvetleaf,3,5,8,0.1155
71,1,4,soil_hemp,yellow_foxtail,1.5,5,7,0.0075
72,1,4,soil_hemp,waterhemp,1,2.5,4,0.0223
73,1,5,soil,cannabis,14,26.5,34,0.8001
74,1,5,soil,wheat,24,79,90,0.4631
75,1,5,soil,soy,15,20,24,1.0062
76,1,5,soil,velvetleaf,4,7,13,0.3774
77,1,5,soil,yellow_foxtail,4,17,61,0.0738
78,1,5,soil,waterhemp,5,10,18,0.5224
79,1,5,soil_corn,cannabis,6,8,9,0.0279
80,1,5,soil_corn,wheat,20.5,21.5,26,0.0598
81,1,5,soil_corn,soy,14,18,22,0.8674
82,1,5,soil_corn,velvetleaf,NA,NA,NA,NA
83,1,5,soil_corn,yellow_foxtail,3,5,6,0.0041
84,1,5,soil_corn,waterhemp,0.5,0.5,0.5,0.0001
85,1,5,soil_hemp,cannabis,0.5,1,1,0.0109
86,1,5,soil_hemp,wheat,21,37,100,0.2324
87,1,5,soil_hemp,soy,14,18,25,0.5922
88,1,5,soil_hemp,velvetleaf,3,4,8,0.1624
89,1,5,soil_hemp,yellow_foxtail,8.5,17.5,65,0.1079
90,1,5,soil_hemp,waterhemp,0.5,2,NA,NA
91,2,6,soil,cannabis,7,13.5,20.5,0.41
92,2,6,soil,wheat,22,64,143,0.57
93,2,6,soil,soy,10,15,20,0.7
94,2,6,soil,velvetleaf,NA,0.1,3,0.02
95,2,6,soil,yellow_foxtail,7,20,84,0.45
96,2,6,soil,waterhemp,2.7,5,13,0.23
97,2,6,soil_corn,cannabis,6.5,8,11,0.065
98,2,6,soil_corn,wheat,19.5,22,23,0.1
99,2,6,soil_corn,soy,8.5,13,18,0.49
100,2,6,soil_corn,velvetleaf,2,3,4.5,0.04
101,2,6,soil_corn,yellow_foxtail,6.5,9,20,0.058
102,2,6,soil_corn,waterhemp,NA,NA,NA,NA
103,2,6,soil_hemp,cannabis,6.5,11,21,0.4
104,2,6,soil_hemp,wheat,13,23,58,0.19
105,2,6,soil_hemp,soy,2.5,8,14,0.33
106,2,6,soil_hemp,velvetleaf,3,4,4.5,0.033
107,2,6,soil_hemp,yellow_foxtail,3,5,10,0.03
108,2,6,soil_hemp,waterhemp,NA,NA,NA,NA
109,2,7,soil,cannabis,4.5,10,16,0.31
110,2,7,soil,wheat,22,62,123,0.5
111,2,7,soil,soy,12.5,18,20,1.074
112,2,7,soil,velvetleaf,3,6,10,0.42
113,2,7,soil,yellow_foxtail,3,8,40,0.21
114,2,7,soil,waterhemp,1.3,4,13,0.26
115,2,7,soil_corn,cannabis,4,6,9,0.053
116,2,7,soil_corn,wheat,17,17,30,0.11
117,2,7,soil_corn,soy,9,14,19,0.54
118,2,7,soil_corn,velvetleaf,1.5,2,3,0.028
119,2,7,soil_corn,yellow_foxtail,4.5,5,11,0.024
120,2,7,soil_corn,waterhemp,NA,NA,NA,NA
121,2,7,soil_hemp,cannabis,2,4,5.5,0.04
122,2,7,soil_hemp,wheat,19,56.5,140,0.51
123,2,7,soil_hemp,soy,1,3,NA,0.031
124,2,7,soil_hemp,velvetleaf,3,5,9,0.38
125,2,7,soil_hemp,yellow_foxtail,4,5,15,0.039
126,2,7,soil_hemp,waterhemp,0,1,2,0.001
127,2,8,soil,cannabis,3.5,10.5,16,0.37
128,2,8,soil,wheat,26,52.5,138,0.58
129,2,8,soil,soy,9.5,15,19,0.57
130,2,8,soil,velvetleaf,3,5,9,0.3
131,2,8,soil,yellow_foxtail,10.5,35,105,0.56
132,2,8,soil,waterhemp,NA,NA,NA,NA
133,2,8,soil_corn,cannabis,6,8,11,0.065
134,2,8,soil_corn,wheat,10,23,23,0.12
135,2,8,soil_corn,soy,9.5,14,17,0.46
136,2,8,soil_corn,velvetleaf,2,2,3,0.029
137,2,8,soil_corn,yellow_foxtail,2.5,7.5,21,0.04
138,2,8,soil_corn,waterhemp,NA,NA,NA,NA
139,2,8,soil_hemp,cannabis,1,1,0,NA
140,2,8,soil_hemp,wheat,14,17,18,0.04
141,2,8,soil_hemp,soy,8,13,19,0.4
142,2,8,soil_hemp,velvetleaf,2.5,3,4,0.014
143,2,8,soil_hemp,yellow_foxtail,NA,2,3,0.0016
144,2,8,soil_hemp,waterhemp,NA,NA,NA,NA
145,2,9,soil,cannabis,7,13,22,0.36
146,2,9,soil,wheat,22,67,123,0.43
147,2,9,soil,soy,10,18,20,1.12
148,2,9,soil,velvetleaf,2,4,5,0.08
149,2,9,soil,yellow_foxtail,8.5,40,126,0.59
150,2,9,soil,waterhemp,NA,NA,NA,NA
151,2,9,soil_corn,cannabis,4.5,6,8,0.027
152,2,9,soil_corn,wheat,16,23,24,0.12
153,2,9,soil_corn,soy,9,15,19,0.54
154,2,9,soil_corn,velvetleaf,NA,NA,NA,NA
155,2,9,soil_corn,yellow_foxtail,4,8,13,0.035
156,2,9,soil_corn,waterhemp,0.3,0.3,0,NA
157,2,9,soil_hemp,cannabis,0,0,0,NA
158,2,9,soil_hemp,wheat,20,35,105,0.045
159,2,9,soil_hemp,soy,4,11,16,0.47
160,2,9,soil_hemp,velvetleaf,0.4,NA,NA,NA
161,2,9,soil_hemp,yellow_foxtail,4,5,NA,0.0095
162,2,9,soil_hemp,waterhemp,NA,NA,NA,NA
163,2,10,soil,cannabis,0.2,NA,NA,NA
164,2,10,soil,wheat,20.5,57,114,0.56
165,2,10,soil,soy,11,18,22,0.84
166,2,10,soil,velvetleaf,NA,NA,NA,NA
167,2,10,soil,yellow_foxtail,4.5,13,83.5,0.34
168,2,10,soil,waterhemp,NA,NA,NA,NA
169,2,10,soil_corn,cannabis,4,5,5,0.026
170,2,10,soil_corn,wheat,14.5,17,47,0.14
171,2,10,soil_corn,soy,10,14,18,0.45
172,2,10,soil_corn,velvetleaf,NA,NA,NA,NA
173,2,10,soil_corn,yellow_foxtail,6,11,19.5,0.056
174,2,10,soil_corn,waterhemp,NA,0.3,0.3,NA
175,2,10,soil_hemp,cannabis,4,7,12,0.2
176,2,10,soil_hemp,wheat,5,17,49,0.19
177,2,10,soil_hemp,soy,7.5,12,19,0.51
178,2,10,soil_hemp,velvetleaf,2,2,3,0.015
179,2,10,soil_hemp,yellow_foxtail,1.5,3,6,0.013
180,2,10,soil_hemp,waterhemp,NA,NA,NA,NA
